TACCL Collective Time,TACCL Solver Time,TACCL Algo Bandwidth
53766.7,7.01055,18.59887254
12494.6,6.55721,20.48885118
3133.2,8.26914,20.42640112
-1,-1,-1
216.5,8.36668,18.47575058
62.15,62.65401,16.09010459
25.26,11.16676,10.13460016
13.08,3.66477,4.892966361
12.68,6.33559,1.261829653
11.85,4.29815,0.337552743
10.15875,3.01664,0.098437308
