TACCL Collective Time,TACCL Solver Time,TACCL Algo Bandwidth
320049.400,1214.692,3.125
81964.200,1217.557,3.123
20532.000,1220.602,3.117
5164.400,1213.903,3.098
1324.200,1214.507,3.021
359.000,1213.521,2.786
115.720,1221.779,2.212
50.340,860.875,1.271
35.760,86.034,0.447
32.115,31.139,0.125
36.799,27.660,0.027
